COPD|3279|Respiratory
Oth low resp|2542|Respiratory
Immuniz/scrn|2456|Other
HTN|2188|Cardiovascular
Unclassified|2009|Other
Ot conn tiss|1928|Musculoskeletal
Hyperlipidem|1886|Metabolic disease
Exam/eval|1820|Other
Oth skin dx|1752|Derm
Ot joint dx|1705|Musculoskeletal
Back problem|1607|Musculoskeletal
Ot aftercare|1550|Musculoskeletal
Other screen|1483|Other
Chest pain|1441|Cardiovascular
Oth nerv dx|1405|CNS
DiabMel no c|1391|Metabolic disease
Other GU dx|1280|Urinary Tract
Other GI dx|1255|GI
Dysrhythmia|1235|Cardiovascular
Hepatitis|1192|Infectious disease
Fatigue|1137|CNS
Meningitis|1127|Infectious disease
Nutrit defic|1103|CNS
Viral infect|1095|Infectious disease
UTI|1086|Urinary Tract
Ot circul dx|1083|Cardiovascular
Neoplsm unsp|1077|Cancer
Coron athero|1076|Cardiovascular
Abdomnl pain|1063|GI
Other injury|1054|Other
Ot up rsp in|1035|Respiratory
Ot bnign neo|1018|Cancer
Cataract|1014|Sensory
Osteoarthros|995|Musculoskeletal
Thyroid dsor|990|Metabolic disease
Pneumonia|966|Respiratory
Rehab|940|Musculoskeletal
Anemia|926|Cardiovascular
Pleurisy|905|Respiratory
Tuberculosis|867|Infectious disease
Ot bone dx|867|Musculoskeletal
Bronchitis|866|Respiratory
Skin infectn|775|Derm
Other eye dx|745|Sensory
Ot uppr resp|740|Respiratory
Hrt valve dx|728|Cardiovascular
Other ear dx|718|Sensory
DiabMel w/cm|709|Metabolic disease
Fluid/elc dx|707|Renal
Chr kidney disease|689|Renal
Mycoses|677|Infectious disease
chf;nonhp|654|Cardiovascular
Esophgeal dx|642|GI
Non-epith ca|641|Cancer
Ot nutrit dx|638|CNS
Htn complicn|622|Cardiovascular
Perip athero|614|Cardiovascular
Asthma|593|Respiratory
Dizziness|580|CNS
Superfic inj|567|Other
Allergy|529|Respiratory
Adlt resp fl|519|Respiratory
Retinal dx|518|Sensory
Headache/mig|503|CNS
Precere occl|502|Cardiovascular
BPH|481|Urinary Tract
Ot dx kidney|478|Renal
Osteoporosis|455|Musculoskeletal
Septicemia|451|Infectious disease
Ac renl fail|444|Renal
Nausea/vomit|437|CNS
Oth liver dx|428|GI
Oth bact inf|428|Infectious disease
Sprain|426|Musculoskeletal
Glaucoma|425|Metabolic disease
Eye infectn|401|Sensory
Oth CNS infx|399|CNS
Complic devi|389|CNS
Ulcer skin|378|Derm
Syncope|378|CNS
Mood disorders|370|CNS
GI hemorrhag|369|GI
Opn wnd extr|366|Derm
Diverticulos|365|GI
Conduction|362|Cardiovascular
Ot infl skin|352|Derm
Oth heart dx|349|Cardiovascular
FUO|333|CNS
Complic proc|330|Cardiovascular
Oth fracture|325|Musculoskeletal
Delirium/dementia/amnestic/other cognitiv|324|CNS
Acute CVD|299|Cardiovascular
Other CVD|298|Cardiovascular
Coma/brn dmg|293|CNS
Breast dx|292|Cancer
Phlebitis|281|Cardiovascular
Screening and history of mental health an|276|Other
Anxiety disorders|275|CNS
Biliary dx|275|GI
Encephalitis|271|CNS
Abdom hernia|266|GI
Pulm hart dx|265|Cardiovascular
Ot hered CNS|263|CNS
Acq foot def|260|Musculoskeletal
Opn wnd head|258|Derm
Ot endo dsor|254|Metabolic disease
Wht blood dx|245|Infectious disease
Ot dx stomch|245|GI
Gastritis|237|GI
Sexual Infxs|231|Genital tract
Oth vein dx|230|Cardiovascular
Coag/hemr dx|226|Cardiovascular
Carditis|226|Cardiovascular
Oth male gen|220|Genital tract
Aneurysm|220|CNS
Urin stone|211|Urinary Tract
Fx leg|203|Musculoskeletal
Otitis media|194|Sensory
Varicose vn|184|Cardiovascular
Gastroent|179|GI
Menopausl dx|178|Genital tract
Late eff CVD|170|Cardiovascular
TIA|169|Cardiovascular
Blindness|167|Sensory
Ot femal gen|166|Genital tract
Intest infct|163|GI
Ot dx bladdr|162|Urinary Tract
Prostate can|159|Cancer
Joint injury|154|Musculoskeletal
Ot acq defor|151|Musculoskeletal
Acute MI|151|Cardiovascular
Fx arm|147|Musculoskeletal
Int obstruct|137|GI
Oth infectns|136|Infectious disease
Schizophrenia and other psychotic disorde|136|CNS
Epilepsy/cnv|127|CNS
Lymph enlarg|127|Infectious disease
Fx hip|126|Musculoskeletal
Patholog fx|126|Infectious disease
Breast cancr|125|Cancer
Gout/ot crys|116|Musculoskeletal
Asp pneumon|115|Respiratory
Rheum arth|109|Musculoskeletal
Mouth dx|107|Sensory
Brnch/lng ca|105|Respiratory
