Cervical disc disorder |62391|CNS
Left ventricular abnormality |6930|Cardiovascular
Psoriasis |11787|Derm
Malignant melanoma of skin |5013|Derm
Carcinoma in situ of male genital organ |5068|Cancer
Chronic heart failure |14396|Cardiovascular
Chronic ulcer of foot |5885|Musculoskeletal
Congenital anomaly of the kidney |5068|Renal
Epicondylitis |31160|Musculoskeletal
Excessive cerumen in ear canal |163612|Sensory
Exfoliative disorder of skin of scalp |7398|Derm
Hemiplegia of nondominant side |5843|CNS
Hyperandrogenization syndrome |27057|Genital tract
Presenile dementia |8168|CNS
Anatomical narrow angle glaucoma |5744|Sensory
Cellulitis and abscess of hip |8553|Abdomen / back
Internal hemorrhoids |32624|CNS
Allergic rhinitis due to animals |8974|Upper Respiratory
Candidiasis of vagina |55731|Genital Tract
Infestation by Pediculus |6475|Infectious Disease
Pruritic disorders |14347|Derm
Crohn's disease of intestine |6578|GI
Sprain of ankle |8075|Musculoskeletal
Articular gout |5273|Metabolic Disease
Cortical cataract |14171|Sensory
Diabetic renal disease |12692|Renal
Monosodium urate arthritis and periarthritis |22605|Musculoskeletal
Non-immunoglobulin E mediated allergic asthma |22182|Upper Respiratory
Non-toxic uninodular goiter |5678|Metabolic Disease
Benign neoplasm of skin |26179|Derm
Diseases of mitral and aortic valves |5915|Cardiovascular
Fibrositis |11230|Musculoskeletal
Obstructive nephropathy |5482|Renal
Osteomyelitis of ankle AND/OR foot |7314|Musculoskeletal
Temporomandibular joint disorder |7192|Musculoskeletal
Closed fracture of vertebral column without spinal cord injury |8340|Musculoskeletal
Disorder of testis and epididymis |5514|Genital Tract
Injury of shoulder region |21377|Musculoskeletal
Malignant neoplasm of skin |9739|Cancer
Migraine |50815|Cardiovascular
Migraine without aura |9434|Cardiovascular
Cellulitis of buttock |8553|Abdomen / back
Coronary arteriosclerosis |23438|Cardiovascular
Deep venous thrombosis of lower extremity |6870|CNS
Disorder of endocrine pancreas |5812|Metabolic Disease
Inflammation of matrix of nail |5234|Musculoskeletal
Malignant neoplasm of female breast |15066|Cancer
Constipation |28769|GI
Fibromyositis |11228|Musculoskeletal
Heterotropia |6009|Sensory
Upper urinary tract dilatation and obstruction |5479|Urinary Tract
Brachial neuritis |75054|CNS
Cellulitis of finger |6229|Musculoskeletal
Compression neuropathy of lower limb |15282|CNS
Disorder of tendon of biceps |8353|Musculoskeletal
Refractory migraine |15560|Cardiovascular
Candidiasis of vulva |55731|Genital Tract
Chronic gastritis |5132|GI
Hemorrhoids without complication |48161|CNS
Open wound of upper limb without complication |12688|Musculoskeletal
Polyneuropathy associated with another disorder |90418|CNS
Renal failure syndrome |112813|Renal
Abscess of toe |33144|Musculoskeletal
Congenital anomaly of spine |7751|Musculoskeletal
Hypertensive heart disease with congestive heart failure |10211|Cardiovascular
Post-laminectomy syndrome |33467|Musculoskeletal
Peripheral arterial occlusive disease |26322|Cardiovascular
Asthma |201822|Upper Respiratory
Current knee cartilage tear |14817|Musculoskeletal
Epididymitis |6443|Genital Tract
Acne |12750|Derm
Idiopathic chronic neuropathy |11715|CNS
Neoplasm of thyroid gland |5638|Metabolic Disease
Osteoporosis |5047|Musculoskeletal
Chronic renal impairment |230789|Renal
Closed traumatic dislocation of cervical vertebra |8013|Musculoskeletal
Conductive hearing loss |11186|Sensory
Disorder of perianal skin |6046|Derm
Disorder of scrotum |6477|Genital Tract
Secondary hyperparathyroidism |14090|Metabolic Disease
Sensory hearing loss |9445|Sensory
Tendinitis of foot |29828|Musculoskeletal
Abrasion and/or friction burn of skin |9781|Derm
Acquired deformity of joint of big toe |122054|Musculoskeletal
Bronchitis |482716|Upper Respiratory
Diabetic neuropathy |90416|Metabolic Disease
Atopic conjunctivitis |12457|Sensory
Open-angle glaucoma - borderline |21185|Sensory
Rotator cuff syndrome |7713|Musculoskeletal
Disorder of salivary gland |11396|GI
Abscess of buttock |8553|Abdomen / back
Bursitis of ankle region |29561|Musculoskeletal
Hand and/or foot eczema |7476|Derm
Ingestion dermatitis |6397|Derm
Malignant tumor of breast |37150|Cancer
Senile dementia |11988|CNS
